Codigo;Area;Total Poblacion;Proporción;Casos;Tipo;Año
4;San Cristóbal;48059;1.7;831;Delgadez;2023
5;Usme;51999;1.9;968;Delgadez;2023
6;Tunjuelito;24782;2.1;527;Delgadez;2023
7;Bosa;84546;2.1;1741;Delgadez;2023
8;Kennedy;135352;2.0;2718;Delgadez;2023
9;Fontibón;40787;1.8;752;Delgadez;2023
10;Engativá;96876;1.7;1694;Delgadez;2023
11;Suba;113900;1.9;2138;Delgadez;2023
12;Barrios Unidos;13857;1.7;233;Delgadez;2023
13;Teusaquillo;20275;1.7;346;Delgadez;2023
14;Los Mártires;13187;1.9;250;Delgadez;2023
15;Antonio Nariño;12816;1.7;223;Delgadez;2023
16;Puente Aranda;29100;1.8;536;Delgadez;2023
17;La Candelaria;6184;2.1;131;Delgadez;2023
18;Rafael Uribe Uribe;48357;1.8;868;Delgadez;2023
19;Ciudad Bolívar;96357;2.0;1956;Delgadez;2023
20;Sumapaz;627;1.8;11;Delgadez;2023
99;Localidad Desconocida;136368;1.9;2592;Delgadez;2023
0;Distrito;1051576;1.9;19884;Delgadez;2023
1;Usaquén;36346;57.4;20865;Exceso;2024
2;Chapinero;19201;55.4;10638;Exceso;2024
3;Santa Fe;30660;58.0;17783;Exceso;2024
4;San Cristóbal;72724;59.5;43270;Exceso;2024
5;Usme;60733;59.6;36219;Exceso;2024
6;Tunjuelito;29915;58.4;17461;Exceso;2024
7;Bosa;95563;59.0;56360;Exceso;2024
8;Kennedy;143504;58.8;84363;Exceso;2024
9;Fontibón;40483;59.7;24168;Exceso;2024
10;Engativá;110334;58.0;63954;Exceso;2024
11;Suba;130096;57.0;74156;Exceso;2024
12;Barrios Unidos;16469;57.2;9413;Exceso;2024
13;Teusaquillo;22502;55.2;12421;Exceso;2024
14;Los Mártires;17706;58.0;10262;Exceso;2024
15;Antonio Nariño;18595;58.7;10916;Exceso;2024
16;Puente Aranda;36698;57.2;20989;Exceso;2024
17;La Candelaria;8282;58.8;4873;Exceso;2024
18;Rafael Uribe Uribe;70891;59.6;42267;Exceso;2024
19;Ciudad Bolívar;110971;59.7;66257;Exceso;2024
20;Sumapaz;401;65.6;263;Exceso;2024
99;Localidad Desconocida;39391;57.6;22683;Exceso;2024
0;Distrito;1111465;58.4;649581;Exceso;2024
1;Usaquén;36346;1.7;613;Delgadez;2024
2;Chapinero;19201;1.8;347;Delgadez;2024
3;Santa Fe;30660;2.1;651;Delgadez;2024
4;San Cristóbal;72724;2.0;1472;Delgadez;2024
5;Usme;60733;2.0;1210;Delgadez;2024
6;Tunjuelito;29915;1.9;561;Delgadez;2024
7;Bosa;95563;1.9;1829;Delgadez;2024
8;Kennedy;143504;1.9;2727;Delgadez;2024
9;Fontibón;40483;1.8;713;Delgadez;2024
10;Engativá;110334;1.8;1966;Delgadez;2024
11;Suba;130096;1.8;2361;Delgadez;2024
12;Barrios Unidos;16469;1.9;307;Delgadez;2024
13;Teusaquillo;22502;1.9;421;Delgadez;2024
14;Los Mártires;17706;2.1;369;Delgadez;2024
15;Antonio Nariño;18595;2.1;395;Delgadez;2024
16;Puente Aranda;36698;1.8;673;Delgadez;2024
17;La Candelaria;8282;2.1;177;Delgadez;2024
18;Rafael Uribe Uribe;70891;2.0;1405;Delgadez;2024
19;Ciudad Bolívar;110971;1.9;2067;Delgadez;2024
20;Sumapaz;401;0.7;3;Delgadez;2024
99;Localidad Desconocida;39391;1.9;742;Delgadez;2024
0;Distrito;1111465;1.9;21009;Delgadez;2024
1;Usaquén;36232;60.4;21875;Exceso;2025
2;Chapinero;22809;60.6;13828;Exceso;2025
3;Santa Fe;32905;61.2;20128;Exceso;2025
4;San Cristóbal;80482;62.6;50397;Exceso;2025
5;Usme;68495;63.4;43392;Exceso;2025
6;Tunjuelito;32971;62.5;20606;Exceso;2025
7;Bosa;98548;62.7;61777;Exceso;2025
8;Kennedy;138433;62.3;86256;Exceso;2025
9;Fontibón;36912;62.4;23036;Exceso;2025
10;Engativá;106140;61.4;65180;Exceso;2025
11;Suba;136822;60.0;82130;Exceso;2025
12;Barrios Unidos;17704;60.4;10698;Exceso;2025
13;Teusaquillo;23495;59.5;13979;Exceso;2025
14;Los Mártires;19012;60.3;11472;Exceso;2025
15;Antonio Nariño;20834;62.4;12995;Exceso;2025
16;Puente Aranda;39057;61.2;23913;Exceso;2025
17;La Candelaria;7758;62.4;4840;Exceso;2025
18;Rafael Uribe Uribe;78564;62.9;49451;Exceso;2025
19;Ciudad Bolívar;122810;63.5;77931;Exceso;2025
20;Sumapaz;555;63.2;351;Exceso;2025
99;Localidad Desconocida;64060;60.6;38820;Exceso;2025
0;Distrito;1184598;61.9;733055;Exceso;2025
1;Usaquén;36232;1.5;537;Delgadez;2025
2;Chapinero;22809;1.7;384;Delgadez;2025
3;Santa Fe;32905;1.8;583;Delgadez;2025
4;San Cristóbal;80482;1.7;1357;Delgadez;2025
5;Usme;68495;1.6;1104;Delgadez;2025
6;Tunjuelito;32971;1.7;563;Delgadez;2025
7;Bosa;98548;1.6;1604;Delgadez;2025
8;Kennedy;138433;1.7;2363;Delgadez;2025
9;Fontibón;36912;1.6;588;Delgadez;2025
10;Engativá;106140;1.6;1675;Delgadez;2025
11;Suba;136822;1.5;2100;Delgadez;2025
12;Barrios Unidos;17704;1.6;287;Delgadez;2025
13;Teusaquillo;23495;1.6;378;Delgadez;2025
14;Los Mártires;19012;2.0;375;Delgadez;2025
15;Antonio Nariño;20834;1.6;331;Delgadez;2025
16;Puente Aranda;39057;1.5;605;Delgadez;2025
17;La Candelaria;7758;1.7;133;Delgadez;2025
18;Rafael Uribe Uribe;78564;1.7;1312;Delgadez;2025
19;Ciudad Bolívar;122810;1.5;1901;Delgadez;2025
20;Sumapaz;555;0.7;4;Delgadez;2025
99;Localidad Desconocida;64060;1.6;1043;Delgadez;2025
0;Distrito;1184598;1.6;19227;Delgadez;2025
1;Usaquén;22812;62.4;14234;Exceso;2026
2;Chapinero;11486;62.2;7146;Exceso;2026
3;Santa Fe;19276;63.7;12275;Exceso;2026
4;San Cristóbal;55380;65.0;35977;Exceso;2026
5;Usme;47629;65.5;31189;Exceso;2026
6;Tunjuelito;23531;65.0;15290;Exceso;2026
7;Bosa;83430;65.7;54840;Exceso;2026
8;Kennedy;108608;64.9;70461;Exceso;2026
9;Fontibón;25772;64.9;16716;Exceso;2026
10;Engativá;60542;63.8;38639;Exceso;2026
11;Suba;71720;61.9;44394;Exceso;2026
12;Barrios Unidos;9401;63.4;5956;Exceso;2026
13;Teusaquillo;13220;61.8;8171;Exceso;2026
14;Los Mártires;11715;63.5;7443;Exceso;2026
15;Antonio Nariño;15816;63.8;10083;Exceso;2026
16;Puente Aranda;28220;63.7;17975;Exceso;2026
17;La Candelaria;4558;63.9;2911;Exceso;2026
18;Rafael Uribe Uribe;55106;65.3;35975;Exceso;2026
19;Ciudad Bolívar;88193;65.8;58023;Exceso;2026
20;Sumapaz;584;68.7;401;Exceso;2026
99;Localidad Desconocida;60032;63.4;38056;Exceso;2026
0;Distrito;817031;64.4;526155;Exceso;2026
1;Usaquén;22812;1.3;297;Delgadez;2026
2;Chapinero;11486;1.5;172;Delgadez;2026
3;Santa Fe;19276;1.6;312;Delgadez;2026
4;San Cristóbal;55380;1.5;855;Delgadez;2026
5;Usme;47629;1.6;771;Delgadez;2026
6;Tunjuelito;23531;1.7;402;Delgadez;2026
7;Bosa;83430;1.6;1355;Delgadez;2026
8;Kennedy;108608;1.7;1875;Delgadez;2026
9;Fontibón;25772;1.5;398;Delgadez;2026
10;Engativá;60542;1.9;1141;Delgadez;2026
11;Suba;71720;1.5;1092;Delgadez;2026
12;Barrios Unidos;9401;1.5;137;Delgadez;2026
13;Teusaquillo;13220;1.8;243;Delgadez;2026
14;Los Mártires;11715;1.9;223;Delgadez;2026
15;Antonio Nariño;15816;1.5;242;Delgadez;2026
16;Puente Aranda;28220;1.7;475;Delgadez;2026
17;La Candelaria;4558;1.6;71;Delgadez;2026
18;Rafael Uribe Uribe;55106;1.7;936;Delgadez;2026
19;Ciudad Bolívar;88193;1.5;1340;Delgadez;2026
20;Sumapaz;584;1.2;7;Delgadez;2026
99;Localidad Desconocida;60032;1.7;993;Delgadez;2026
0;Distrito;817031;1.6;13337;Delgadez;2026
