DIRECTORIO_MZ,DIRECTORIO_PRED,DIRECTORIO_HOG,DIRECTORIO_PER,periodo,SECTOR,Cod_Locali,Nom_Locali,Cod_UPL,Nom_UPL,A6x2,A6x3,C1,D1,E1,E1x1,G1,H1,C303,sexo_jefe,Ax201,Bx201,Cx201,Dx201,Ex201,Fx201,Gx201,Hx201,Ix201,Jx201,Ax202,ind_distribuciontareas_202,Jx402,Jx403,Kx404_1,Kx404_2,Kx404_3,Kx404_4,Kx404_5,Kx404_6,Lx404_1,Lx404_2,Lx404_3,Lx404_4,Lx404_5,Lx404_6,Mx404_1,Mx404_2,Mx404_3,Mx404_4,Mx404_5,Mx404_6,Nx404_1,Nx404_2,Nx404_3,Nx404_4,Nx404_5,Nx404_6,F405,G406,IPS_dia,IPS_noche,IPSJ_A,IPSJ_C,IPSJ_E,Dx704,ICG_D,Bx704,ICG_B,Ax102,Bx102,Cx102,Dx102,Ex102,Fx102,Gx102,A101,ind_salud_101,ind_salud_102,fexp_calp_anu,fexp_calh_anu
202504071,202504071010,20250407101001,2025040710100102,202504,Sector Sur Occidente,7,BOSA,UPL16,Edén,0,20,3,1,1,,3,1,1,1,3,1,3,8,3,1,1,,,,5,3,2.0,,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,1,2.0,1.0,2.0,3.0,1.0,1,1.0,1,1.0,0,1,2,1,1,3,1,4,1,1,184.801567669721,83.0239403156096
202504072,202504072001,20250407200101,2025040720010101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,1,65,2,2,2,,3,2,2,1,3,6,3,8,3,3,3,,,3.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,3,4.0,3.0,1.0,4.0,2.0,4,4.0,2,2.0,0,0,0,0,0,0,0,2,0,0,192.43992053865,79.849510910459
202504072,202504072002,20250407200201,2025040720020101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,62,1,1,1,,1,2,2,1,1,1,1,8,1,1,1,,,5.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4.0,4.0,3.0,2.0,2.0,2,2.0,4,4.0,1,0,1,0,1,1,0,4,1,0,96.2199602693248,79.849510910459
202504072,202504072003,20250407200301,2025040720030101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,35,3,2,2,,5,2,2,2,1,6,1,8,1,1,1,1.0,1.0,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4.0,1.0,4.0,4.0,3.0,2,2.0,3,3.0,0,0,0,0,0,0,0,3,0,0,96.2199602693248,79.849510910459
202504072,202504072004,20250407200401,2025040720040103,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,2,30,2,1,2,,2,2,2,1,4,4,4,8,4,4,4,,,8.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4.0,4.0,4.0,4.0,2.0,2,2.0,4,4.0,0,0,0,0,0,0,0,3,0,0,384.879841077299,79.849510910459
202504072,202504072005,20250407200501,2025040720050101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,38,6,2,2,,3,2,2,2,1,1,1,8,1,1,1,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4.0,4.0,4.0,4.0,2.0,2,2.0,2,2.0,0,0,0,0,0,0,0,5,1,0,96.2199602693248,79.849510910459
202504072,202504072006,20250407200601,2025040720060102,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,2,37,6,2,2,,5,2,2,2,4,4,4,8,4,4,4,8.0,8.0,8.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2.0,2.0,1.0,3.0,2.0,2,2.0,4,4.0,0,0,0,0,0,0,0,4,1,0,481.099801346624,79.849510910459
202504072,202504072007,20250407200701,2025040720070101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,1,25,3,2,1,,3,2,2,1,4,4,4,8,4,4,4,3.0,3.0,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2.0,2.0,1.0,4.0,2.0,4,4.0,2,2.0,0,0,0,0,0,0,0,5,1,0,384.879841077299,79.849510910459
202504072,202504072008,20250407200801,2025040720080101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,82,1,1,1,,2,2,2,1,1,1,1,8,1,1,1,,,8.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,4.0,,1.0,3.0,3.0,2,2.0,2,2.0,1,1,1,1,1,1,1,3,0,1,96.2199602693248,79.849510910459
202504072,202504072009,20250407200901,2025040720090101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,1,77,2,1,2,,3,2,2,2,2,5,2,8,2,2,2,,,3.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,6,3.0,,3.0,4.0,2.0,2,2.0,2,2.0,1,1,1,1,1,1,0,3,0,1,192.43992053865,79.849510910459
