indice_pregunta;indice_variable;columna;codigo_variable;num_seccion;pregunta;titulo;tipo;etiqueta_orden;enunciado_2;etiqueta_enunciado;etiqueta_corta;en_cubo;tags;variable_nombre;unidad_medida
90;338;MA;P61.6;;61;;category;f;Los andenes de su barrio;f. Los andenes de su barrio;;1;;;
90;339;MB;P61.7;;61;;category;g;Las vías de su barrio;g. Las vías de su barrio;;1;;;
90;340;MC;P61.8;;61;;category;h;El servicio de transporte público que pasa por su barrio;h. El servicio de transporte público que pasa por su barrio;;1;;;
90;341;MD;P61.9;;61;;category;i;Las actividades culturales y artísticas en su barrio;i. Las actividades culturales y artísticas en su barrio;;1;;;
90;342;ME;P61.10;;61;;category;j;Las actividades deportivas y recreativas en su barrio;j. Las actividades deportivas y recreativas en su barrio;;1;;;
91;343;MF;P62.1;;62;;category;a;De expresión cultural y artística;a. De expresión cultural y artística;;1;;;
91;344;MG;P62.2;;62;;category;b;De encuentro;b. De encuentro;;1;;;
91;345;MH;P62.3;;62;;category;c;De peligro;c. De peligro;;1;;;
91;346;MI;P62.4;;62;;category;d;De conflictos;d. De conflictos;;1;;;
91;347;MJ;P62.5;;62;;category;e;Para hacer ejercicio o actividad física;e. Para hacer ejercicio o actividad física;;1;;;
91;348;MK;P62.6;;62;;category;f;Para trabajar;f. Para trabajar;;1;;;
91;349;ML;P62.7;;62;;category;g;De transito (por cualquier medio de transporte);g. De transito (por cualquier medio de transporte);;1;;;
91;350;MM;P62.8;;62;;category;h;Para caminar;h. Para caminar;;1;;;
91;351;MN;P62.9;;62;;category;i;De esparcimiento y disfrute;i. De esparcimiento y disfrute;;1;;;
92;352;MO;P63;;63;;category;;;;;1;;;
93;353;MP;P64;;64;;category;;;;;1;;;
94;354;MQ;P65.1;;65;;category;a;Monumentos, señales de tránsito o fachadas con rayones, tags o pintas;a. Monumentos, señales de tránsito o fachadas con rayones, tags o pintas;;1;;;
94;355;MR;P65.2;;65;;category;b;Ventas informales que invaden el espacio público destinado a los peatones;b. Ventas informales que invaden el espacio público destinado a los peatones;;1;;;
94;356;MS;P65.3;;65;;category;c;Encontrar orina o materia fecal de humanos en el espacio público.;c. Encontrar orina o materia fecal de humanos en el espacio público.;;1;;;
94;357;MT;P65.4;;65;;category;d;Tropezarse con obstáculos por el mal estado del andén;d. Tropezarse con obstáculos por el mal estado del andén;;1;;;
94;358;MU;P65.5;;65;;category;e;Venta de sustancias psicoactivas;e. Venta de sustancias psicoactivas;;1;;;
94;359;MV;P65.6;;65;;category;f;Consumo de sustancias psicoactivas;f. Consumo de sustancias psicoactivas;;1;;;
94;360;MW;P65.7;;65;;category;g;Uso inadecuado de los contenedores o canecas de residuos;g. Uso inadecuado de los contenedores o canecas de residuos;;1;;;
95;361;MX;P66.1;;66;;category;a;El alumbrado público.;a. El alumbrado público.;;1;;;
95;362;MY;P66.2;;66;;category;b;La calidad del aire (contaminación y olores);b. La calidad del aire (contaminación y olores);;1;;;
95;363;MZ;P66.3;;66;;category;c;Los sonidos que se escuchan;c. Los sonidos que se escuchan;;1;;;
95;364;;P66.4;;66;;category;d;Conexión vial con el resto de la ciudad;d. Conexión vial con el resto de la ciudad;;1;;;
95;365;NB;P66.5;;66;;category;e;Zonas verdes y arborización;e. Zonas verdes y arborización;;1;;;
95;366;NC;P66.6;;66;;category;f;Presencia de fauna silvestre;f. Presencia de fauna silvestre;;1;;;
95;367;ND;P66.7;;66;;category;g;Conexión peatonal con el resto del barrio;g. Conexión peatonal con el resto del barrio;;1;;;
95;368;NE;P66.8;;66;;category;h;La seguridad en la zona;h. La seguridad en la zona;;1;;;
95;369;NF;P66.9;;66;;category;i;Presencia de ventas informales en el espacio público;i. Presencia de ventas informales en el espacio público;;1;;;
96;370;NG;P67;;67;;category;;;;;1;;;
97;371;NH;P68;;68;;number;;;;;1;;Tiempo para llegar al parque;minutos
98;372;NI;P69;;69;;category;;;;;1;;;
99;373;NJ;P70;;70;;category;;;;;1;;;
100;374;NK;P70.1;;70.1;;category;;;;;1;;;
101;375;NL;P71.1;;71;;category;a;Agradables;a. Agradables;;1;;;
101;376;NM;P71.2;;71;;category;b;Limpios;b. Limpios;;1;;;
101;377;NN;P71.3;;71;;category;c;Seguros;c. Seguros;;1;;;
101;378;NO;P71.4;;71;;category;d;Amplios;d. Amplios;;1;;;
101;379;NP;P71.5;;71;;category;e;Bien equipados (iluminados, con canecas, prados y pisos en buen estado.;e. Bien equipados (iluminados, con canecas, prados y pisos en buen estado.;;1;;;
101;380;NQ;P71.6;;71;;category;f;Tienen zonas verdes donde las personas pueden descansar o jugar;f. Tienen zonas verdes donde las personas pueden descansar o jugar;;1;;;
102;381;NR;P72.1;;72;;category;a;Reuniones y encuentros entre los(as) vecinos(as);a. Reuniones y encuentros entre los(as) vecinos(as);;1;;;
102;382;NS;P72.2;;72;;category;b;Personas disfrutando de la naturaleza;b. Personas disfrutando de la naturaleza;;1;;;
102;383;NT;P72.3;;72;;category;c;Niños y niñas jugando;c. Niños y niñas jugando;;1;;;
102;384;NU;P72.4;;72;;category;d;Personas mayores descansando;d. Personas mayores descansando;;1;;;
102;385;NV;P72.5;;72;;category;e;Personas sacando a pasear mascotas;e. Personas sacando a pasear mascotas;;1;;;
102;386;NW;P72.6;;72;;category;f;Personas practicando deportes y actividades físicas;f. Personas practicando deportes y actividades físicas;;1;;;
102;387;NX;P72.7;;72;;category;g;Personas realizado actividades artísticas y/o culturales;g. Personas realizado actividades artísticas y/o culturales;;1;;;
102;388;NY;P72.8;;72;;category;h;Personas recicladoras de oficio;h. Personas recicladoras de oficio;;1;;;
102;389;NZ;P72.9;;72;;category;i;Gente usando el parque para desayunar, almorzar o comer;i. Gente usando el parque para desayunar, almorzar o comer;;1;;;
102;390;OA;P72.10;;72;;category;j;Venta de sustancias psicoactivas;j. Venta de sustancias psicoactivas;;1;;;
102;391;OB;P72.11;;72;;category;k;Consumo de sustancias psicoactivas;k. Consumo de sustancias psicoactivas;;1;;;
102;392;OC;P72.12;;72;;category;l;Casos de acoso o abuso sexual;l. Casos de acoso o abuso sexual;;1;;;
102;393;OD;P72.13;;72;;category;m;Atracos o robos;m. Atracos o robos;;1;;;
102;394;OE;P72.14;;72;;category;n;Peleas o riñas;n. Peleas o riñas;;1;;;
102;395;OF;P72.15;;72;;category;o;Uso inadecuado de las canecas de residuos;o. Uso inadecuado de las canecas de residuos;;1;;;
103;396;OG;P73;;73;;category;;;;;1;;;
104;397;OH;P74;;74;;number;;;;;1;;Puntaje seguridad;de 1 a 5
105;398;OI;P75;;75;;category;;;;;1;;;
105;399;OJ;P75.1;;75;;category;;;;;0;;;
107;400;OK;P76;;76;;category;;;;;1;;;
107;401;OL;P76.1;;76;;category;;;;;1;;;
109;402;OM;P77;;77;;category;;;;;1;;;
110;403;ON;P78;;78;;category;;;;;1;;;
111;404;OO;P79;;79;;number;;;;;1;;vecinos que reciclan;1 a 10 personas
112;405;OP;P80;;80;;category;;;;;1;;;
113;406;OQ;P81;;81;;category;;;;;1;;;
114;407;OR;P82;;82;;category;;;;;1;;;
115;408;OS;P83;;83;;category;;;;;1;;;
116;409;OT;P84.1;;84;;category;a;Cartón limpio;a. Cartón limpio;;1;;;
116;410;OU;P84.2;;84;;category;b;Cartón sucio (con restos de comida, grasa, etc);b. Cartón sucio (con restos de comida, grasa, etc);;1;;;
116;411;OV;P84.3;;84;;category;c;Papel;c. Papel;;1;;;
116;412;OW;P84.4;;84;;category;d;Aluminio;d. Aluminio;;1;;;
116;413;OX;P84.5;;84;;category;e;Plástico;e. Plástico;;1;;;
116;414;OY;P84.6;;84;;category;f;vidrio;f. vidrio;;1;;;
116;415;OZ;P84.7;;84;;category;g;Metal;g. Metal;;1;;;
116;416;PA;P84.8;;84;;category;h;Residuos orgánicos (cáscaras, semillas, frutas, etc);h. Residuos orgánicos (cáscaras, semillas, frutas, etc);;1;;;
116;417;PB;P84.9;;84;;category;i;Residuos de comida cocinada;i. Residuos de comida cocinada;;1;;;
116;418;PC;P84.10;;84;;category;j;Pilas;j. Pilas;;1;;;
116;419;PD;P84.11;;84;;category;k;Icopor;k. Icopor;;1;;;
116;420;PE;P84.12;;84;;category;l;Cajas de jugo sucio;l. Cajas de jugo sucio;;1;;;
116;421;PF;P84.13;;84;;category;m;Servilletas usadas;m. Servilletas usadas;;1;;;
117;422;PG;P85;;85;;category;;;;;1;;;
118;423;PH;P86;;86;;category;;;;;1;;;
119;424;PI;P87;;87;;category;;;;;1;;;
120;425;PJ;P88;;88;;category;;;;;1;;;
121;426;PK;P89;;89;;category;;;;;1;;;
122;427;PL;P90.1;;90;;category;a;Descuidan los jardines y las zonas verdes de las residencias (Antejardines) (cortar ramas y hojas secas, recoger las basuras, regar las plantas, etc);a. Descuidan los jardines y las zonas verdes de las residencias (Antejardines) (cortar ramas y hojas secas, recoger las basuras, regar las plantas, etc);;1;;;
122;428;PM;P90.2;;90;;category;b;Instalan vallas, avisos y pasacalles;b. Instalan vallas, avisos y pasacalles;;1;;;
122;429;PN;P90.3;;90;;category;c;Separan los residuos que se generan en la casa;c. Separan los residuos que se generan en la casa;;1;;;
122;430;PO;P90.4;;90;;category;d;Arrojan escombros o desperdicios en caños, ríos, quebradas o humedales;d. Arrojan escombros o desperdicios en caños, ríos, quebradas o humedales;;1;;;
122;431;PP;P90.5;;90;;category;e;Trafican con animales silvestres;e. Trafican con animales silvestres;;1;;;
122;432;PQ;P90.6;;90;;category;f;Lavan el carro en el espacio público;f. Lavan el carro en el espacio público;;1;;;
122;433;PR;P90.7;;90;;category;g;Tienen animales silvestres como animales de compañía.;g. Tienen animales silvestres como animales de compañía.;;1;;;
123;434;PS;P91;;91;;category;;;;;1;;;
124;435;PT;P92;;92;;category;;;;;1;;;
125;436;PU;P93;;93;;category;;;;;1;;;
126;437;PV;P94;;94;;category;;;;;1;;;
127;438;PW;P95;;95;;category;;;;;1;;;
128;439;PX;P96;;96;;category;;;;;1;;;
129;440;PY;P97.1;;97;;category;a;Senderos en los Cerros Orientales;a. Senderos en los Cerros Orientales;;1;;;
129;441;PZ;P97.2;;97;;category;b;Aulas ambientales;b. Aulas ambientales;;1;;;
129;442;QA;P97.3;;97;;category;c;Corredores ambientales;c. Corredores ambientales;;1;;;
129;443;QB;P97.4;;97;;category;d;Reservas forestales;d. Reservas forestales;;1;;;
129;444;QC;P97.5;;97;;category;e;Quebradas;e. Quebradas;;1;;;
129;445;QD;P97.6;;97;;category;f;Páramos;f. Páramos;;1;;;
129;446;QE;P97.7;;97;;category;g;Ríos;g. Ríos;;1;;;
129;447;QF;P97.8;;97;;category;h;Parques naturales;h. Parques naturales;;1;;;
129;448;QG;P97.9;;97;;category;i;Humedales;i. Humedales;;1;;;
130;449;QH;P98.1;;98;;category;a;Aulas ambientales;a. Aulas ambientales;;1;;;
130;450;QI;P98.2;;98;;category;b;Corredores ambientales;b. Corredores ambientales;;1;;;
130;451;QJ;P98.3;;98;;category;c;Reservas forestales;c. Reservas forestales;;1;;;
130;452;QK;P98.4;;98;;category;d;Quebradas;d. Quebradas;;1;;;
130;453;QL;P98.5;;98;;category;e;Páramos;e. Páramos;;1;;;
130;454;QM;P98.6;;98;;category;f;Ríos;f. Ríos;;1;;;
130;455;QN;P98.7;;98;;category;g;Parques naturales;g. Parques naturales;;1;;;
130;456;QO;P98.8;;98;;category;h;Humedales;h. Humedales;;1;;;
131;457;QP;P99.1;;99;;category;a;Aulas ambientales;a. Aulas ambientales;;1;;;
131;458;QQ;P99.2;;99;;category;b;Corredores ambientales;b. Corredores ambientales;;1;;;
131;459;QR;P99.3;;99;;category;c;Reservas forestales;c. Reservas forestales;;1;;;
131;460;QS;P99.4;;99;;category;d;Quebradas;d. Quebradas;;1;;;
131;461;QT;P99.5;;99;;category;e;Páramos;e. Páramos;;1;;;
131;462;QU;P99.6;;99;;category;f;Ríos;f. Ríos;;1;;;
131;463;QV;P99.7;;99;;category;g;Parques naturales;g. Parques naturales;;1;;;
131;464;QW;P99.8;;99;;category;h;Humedales;h. Humedales;;1;;;
132;465;QX;P100.1;;100;;category;;Primera respuesta;Primera respuesta;;1;;;
132;466;QY;P100.2;;100;;category;;Segunda respuesta;Segunda respuesta;;1;;;
132;467;QZ;P100.3;;100;;category;;Tercera respuesta;Tercera respuesta;;1;;;
133;468;RA;P101;;101;;number;;;;;1;;satisfación movilidad;1 a 5
134;469;RB;P102;;102;;number;;;;;1;;tiempo desplazamiento;minutos
135;470;RC;P103.1;;103;;category;a;Peatones cruzando la calle sin usar el puente peatonal;a. Peatones cruzando la calle sin usar el puente peatonal;;1;;;
135;471;RD;P103.2;;103;;category;b;Vehículos particulares parqueados en zonas prohibidas;b. Vehículos particulares parqueados en zonas prohibidas;;1;;;
135;472;RE;P103.3;;103;;category;c;Vehículos de servicio público pasar el semáforo en rojo;c. Vehículos de servicio público pasar el semáforo en rojo;;1;;;
135;473;RF;P103.4;;103;;category;d;Vehículos bloqueando la intersección vial;d. Vehículos bloqueando la intersección vial;;1;;;
135;474;RG;P103.5;;103;;category;e;Vehículos que no le ceden el paso al peatón;e. Vehículos que no le ceden el paso al peatón;;1;;;
135;475;RH;P103.6;;103;;category;f;Personas que evaden el pago de pasaje en transmilenio;f. Personas que evaden el pago de pasaje en transmilenio;;1;;;
135;476;RI;P103.7;;103;;category;g;Ciclistas invadiendo las vías exclusivas de los(as) peatones(as);g. Ciclistas invadiendo las vías exclusivas de los(as) peatones(as);;1;;;
135;477;RJ;P103.8;;103;;category;h;Peatones(as) invadiendo las vías exclusivas de los(as) ciclistas;h. Peatones(as) invadiendo las vías exclusivas de los(as) ciclistas;;1;;;
135;478;RK;P103.9;;103;;category;i;Motos o carros invadiendo las vías exclusivas de los(as) ciclistas;i. Motos o carros invadiendo las vías exclusivas de los(as) ciclistas;;1;;;
135;479;RL;P103.10;;103;;category;j;Motos o carros invadiendo los andenes;j. Motos o carros invadiendo los andenes;;1;;;
135;480;RM;P103.11;;103;;category;k;Vendedores informales invadiendo los bicicarriles;k. Vendedores informales invadiendo los bicicarriles;;1;;;
136;481;RN;P104.1;;104;;category;;Evadir el pago del pasaje en Transmilenio;Evadir el pago del pasaje en Transmilenio;;1;;;
136;482;RO;P104.2;;104;;category;;Pasarse un semáforo en rojo en la vía;Pasarse un semáforo en rojo en la vía;;1;;;
137;483;RP;P105.1;;105;;category;a;“Bogotá es una ciudad que promueve el uso y disfrute de la bicicleta”;a. “Bogotá es una ciudad que promueve el uso y disfrute de la bicicleta”;;1;;;
138;484;RQ;P106;;106;;category;;;;;1;;;
139;485;RR;P107;;107;;number;;;;;1;;necesidad de Metro;1 a 5
140;486;RS;P108;;108;;category;;;;;1;;;
141;487;RT;P109;;109;;category;;;;;1;;;
142;488;RU;P110.1;;110;;category;a;Promueve el autocuidado y es solidario(a) con las necesidades de otros.;a. Promueve el autocuidado y es solidario(a) con las necesidades de otros.;;1;;;
142;489;RV;P110.2;;110;;category;b;Reconoce, respeta y valora la diferencia como una riqueza de la ciudad.;b. Reconoce, respeta y valora la diferencia como una riqueza de la ciudad.;;1;;;
142;490;RW;P110.3;;110;;category;c;Cuida, valora y protege su bienestar físico, emocional y mental, y el de los demás;c. Cuida, valora y protege su bienestar físico, emocional y mental, y el de los demás;;1;;;
142;491;RX;P110.4;;110;;category;d;Es consciente de la necesidad de construir una ciudad más tranquila, calmada, serena, pacíca y amable;d. Es consciente de la necesidad de construir una ciudad más tranquila, calmada, serena, pacíca y amable;;1;;;
142;492;RY;P110.5;;110;;category;e;Es consciente de la necesidad de respetar y valorar las diferencias culturales de la ciudad.;e. Es consciente de la necesidad de respetar y valorar las diferencias culturales de la ciudad.;;1;;;
142;493;RZ;P110.6;;110;;category;f;Respeta la libertad individual y el libre desarrollo de la personalidad, respetando los distintos puntos de vista y;f. Respeta la libertad individual y el libre desarrollo de la personalidad, respetando los distintos puntos de vista y;;1;;;
142;494;SA;P110.7;;110;;category;g;Las personas tienen conanza en sí mismas.;g. Las personas tienen conanza en sí mismas.;;1;;;
142;495;SB;P110.8;;110;;category;h;Las personas confían en los otros.;h. Las personas confían en los otros.;;1;;;
142;496;SC;P110.9;;110;;category;i;Las personas contribuyen a disminuir el caos de la ciudad mejorando las relaciones de convivencia con los otros..;i. Las personas contribuyen a disminuir el caos de la ciudad mejorando las relaciones de convivencia con los otros..;;1;;;
142;497;SD;P110.10;;110;;category;j;Las personas tienen la capacidad de tramitar sin agresión los conictos con las otras personas.;j. Las personas tienen la capacidad de tramitar sin agresión los conictos con las otras personas.;;1;;;
142;498;SE;P110.11;;110;;category;k;La ciudadanía valora la creatividad.;k. La ciudadanía valora la creatividad.;;1;;;
142;499;SF;P110.12;;110;;category;l;Las personas se sienten parte de una comunidad.;l. Las personas se sienten parte de una comunidad.;;1;;;
143;500;SG;D1;;D1;Sexo;category;;;;;1;IndicadorI+C;;
144;501;SH;D2;;D2;;category;;;;;1;;;
145;502;SI;D3;;D3;Edad;number;;Edad;Edad;;1;IndicadorI+C;Edad;años
146;503;SJ;D3_1;;D3.1;Grupo de edad;category;;Grupo de edad;Grupo de edad;;1;;;
147;504;SK;D4;;D4;;category;;;;;1;;;
148;505;SL;D5;;D5;Años viviendo en Bogotá;number;;Años viviendo en Bogotá;Años viviendo en Bogotá;;1;;Viviendo en Bogotá;años
149;506;SM;D6;;D6;;category;;;;;1;;;
150;507;SN;D7;;D7;;category;;;;;1;;;
151;508;SO;D8;;D8;;category;;Actividad principal;Actividad principal;;1;;;
151;509;SP;D8.1;;D8;;category;;;;;0;;;
153;510;SQ;D9;;D9;;category;;;;;1;;;
154;511;SR;D10;;D10;;category;;;;;1;;;
155;512;SS;D11.1;;D11;;category;;Moverse o caminar;Moverse o caminar;;1;;;
155;513;ST;D11.2;;D11;;category;;Usar sus brazos o manos;Usar sus brazos o manos;;1;;;
155;514;SU;D11.3;;D11;;category;;Ver, a pesar de usar lentes o gafas;Ver, a pesar de usar lentes o gafas;;1;;;
155;515;SV;D11.4;;D11;;category;;Oír, aún con aparatos especiales;Oír, aún con aparatos especiales;;1;;;
155;516;SW;D11.5;;D11;;category;;Hablar;Hablar;;1;;;
155;517;SX;D11.6;;D11;;category;;Entender o aprender;Entender o aprender;;1;;;
155;518;SY;D11.7;;D11;;category;;Relacionarse con otras personas por problemas mentales o emocionales;Relacionarse con otras personas por problemas mentales o emocionales;;1;;;
155;519;SZ;D11.8;;D11;;category;;Bañarse, vestirse, alimentarse sin ayuda de alguien más;Bañarse, vestirse, alimentarse sin ayuda de alguien más;;1;;;
155;520;TA;D11.9;;D11;;category;;Otra;Otra;;1;;;
155;521;TB;D11.11;;D11;;category;;Ninguna de las anteriores;Ninguna de las anteriores;;1;;;
156;522;TC;D12;;D12;;category;;Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta. Si dice estar dispuesto(a) a responder, por favor pásele el formulario al/la encuestado(a) y que sea él/ella quien marque las opciones libremente.;Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta. Si dice estar dispuesto(a) a responder, por favor pásele el formulario al/la encuestado(a) y que sea él/ella quien marque las opciones libremente.;;1;;;
156;523;TD;D12.1;;D12;;category;;Hombre;Hombre;;1;;;
156;524;TE;D12.2;;D12;;category;;Mujer;Mujer;;1;;;
156;525;TF;D12.3;;D12;;category;;Intersexual;Intersexual;;1;;;
156;526;TG;D12.4;;D12;;category;;De identidad femenina;De identidad femenina;;1;;;
156;527;TH;D12.5;;D12;;category;;De identidad masculina;De identidad masculina;;1;;;
156;528;TI;D12.6;;D12;;category;;De identidad transgénero;De identidad transgénero;;1;;;
156;529;TJ;D12.7;;D12;;category;;Lesbiana;Lesbiana;;1;;;
156;530;TK;D12.8;;D12;;category;;Gay;Gay;;1;;;
156;531;TL;D12.9;;D12;;category;;Bisexual;Bisexual;;1;;;
156;532;TM;D12.10;;D12;;category;;Heterosexual;Heterosexual;;1;;;
156;533;TN;D12.11;;D12;;category;;Ninguno;Ninguno;;1;;;
158;534;TO;D13;;D13;;category;;¿Usted tiene hijos?;¿Usted tiene hijos?;;1;;;
159;535;TP;D14;;D14;;category;;Su nivel de ingreso se encuentra entre:;Su nivel de ingreso se encuentra entre:;;1;;ingresos;COP/mes
160;536;TQ;FACTOR;;R3;Factor de expansión;number;;;;;1;IndicadorI+C;;personas
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
