indice_pregunta;indice_variable;columna;codigo_variable;num_seccion;pregunta;titulo;tipo;etiqueta_orden;enunciado_2;etiqueta_enunciado;etiqueta_corta;en_cubo;tags;variable_nombre;unidad_medida
45;171;FP;P19.4;;19;;category;d;Audiencias Públicas;d. Audiencias Públicas;;1;;;
45;172;FQ;P19.5;;19;;category;e;Veedurías;e. Veedurías;;1;;;
45;173;FR;P19.6;;19;;category;f;Instancias de participación, consulta y/o concertación;f. Instancias de participación, consulta y/o concertación;;1;;;
45;174;FS;P19.7;;19;;category;g;Causas ciudadanas;g. Causas ciudadanas;;1;;;
45;175;FT;P19.8;;19;;category;h;Consultas ciudadanas;h. Consultas ciudadanas;;1;;;
45;176;FU;P19.9;;19;;category;i;Laboratorios de innovación;i. Laboratorios de innovación;;1;;;
45;177;FV;P19.10;;19;;category;j;Plataformas de cocreación;j. Plataformas de cocreación;;1;;;
45;178;FW;P19.11;;19;;category;k;Sistema de Votación Electrónica Ciudadana -VOTEC-;k. Sistema de Votación Electrónica Ciudadana -VOTEC-;;1;;;
45;179;FX;P19.12;;19;;category;l;Elaboración del Plan de Ordenamiento Territorial -POT-;l. Elaboración del Plan de Ordenamiento Territorial -POT-;;1;;;
45;180;FY;P19.13;;19;;category;m;Juntas de Acción Comunal;m. Juntas de Acción Comunal;;1;;;
45;181;FZ;P19.14;;19;;category;n;Comités de Control Social de Servicios Públicos;n. Comités de Control Social de Servicios Públicos;;1;;;
45;182;GA;P19.15;;19;;category;o;Comités de Participación Comunitaria en Salud;o. Comités de Participación Comunitaria en Salud;;1;;;
46;183;GB;P20;;20;;category;;;;;1;;;
46;184;GC;P20.1;;20;;category;;;;;0;;;
48;185;GD;P21;;21;;category;;;;;1;;Efectividad;de 1 a 4
49;186;GE;P22.1;;22;;category;a;Formación en capacidades democráticas;a. Formación en capacidades democráticas;;1;;;
49;187;GF;P22.2;;22;;category;b;Fortalecimiento de las organizaciones sociales e instancias de participación;b. Fortalecimiento de las organizaciones sociales e instancias de participación;;1;;;
49;188;GG;P22.3;;22;;category;c;Investigación sobre la participación ciudadana;c. Investigación sobre la participación ciudadana;;1;;;
49;189;GH;P22.4;;22;;category;d;Promoción de escenarios, espacios y procesos de dialogo y concertación;d. Promoción de escenarios, espacios y procesos de dialogo y concertación;;1;;;
49;190;GI;P22.5;;22;;category;e;Divulgación y comunicación de información pública;e. Divulgación y comunicación de información pública;;1;;;
49;191;GJ;P22.6;;22;;category;f;Inclusión en procesos de gestión pública a través de medios tecnológicos o instrumentos de innovación;f. Inclusión en procesos de gestión pública a través de medios tecnológicos o instrumentos de innovación;;1;;;
49;192;GK;P22.7;;22;;category;g;Entrega de incentivos y recursos para promover ejercicios de participación;g. Entrega de incentivos y recursos para promover ejercicios de participación;;1;;;
50;193;GL;P23;;23;;category;;;;;1;;Efectividad;de 1 a 4
51;194;GM;P24.1;;24;;category;a;Participar en mi comunidad es importante para generar cambios;a. Participar en mi comunidad es importante para generar cambios;;1;;;
51;195;GN;P24.2;;24;;category;b;Participar en mi comunidad ayuda a fortalecer redes con otros ciudadanos;b. Participar en mi comunidad ayuda a fortalecer redes con otros ciudadanos;;1;;;
51;196;GO;P24.3;;24;;category;c;Participar en mi comunidad fortalece la gestión pública;c. Participar en mi comunidad fortalece la gestión pública;;1;;;
51;197;GP;P24.4;;24;;category;d;Participar en mi comunidad es peligroso;d. Participar en mi comunidad es peligroso;;1;;;
51;198;GQ;P24.5;;24;;category;e;Participar en mi comunidad es difícil;e. Participar en mi comunidad es difícil;;1;;;
51;199;GR;P24.6;;24;;category;f;Participar en mi comunidad no sirve de nada;f. Participar en mi comunidad no sirve de nada;;1;;;
52;200;GS;P25.1;;25;;category;;Tener un líder fuerte que no tenga que preocuparse por el congreso y las elecciones;Tener un líder fuerte que no tenga que preocuparse por el congreso y las elecciones;;1;;;
52;201;GT;P25.2;;25;;category;;Hacer que los expertos, no el gobierno, tomen decisiones de acuerdo con lo que creen que es mejor para el país.;Hacer que los expertos, no el gobierno, tomen decisiones de acuerdo con lo que creen que es mejor para el país.;;1;;;
52;202;GU;P25.3;;25;;category;;Tener un sistema político democrático;Tener un sistema político democrático;;1;;;
52;203;GV;P25.4;;25;;category;;Tener un sistema regido por una ley religiosa en el que no hay partidos políticos ni elecciones.;Tener un sistema regido por una ley religiosa en el que no hay partidos políticos ni elecciones.;;1;;;
53;204;GW;P26.1;;26;;category;;La religión del(la) candidato(a);La religión del(la) candidato(a);;1;;;
53;205;GX;P26.2;;26;;category;;El partido del(la) candidato(a);El partido del(la) candidato(a);;1;;;
53;206;GY;P26.3;;26;;category;;Las personas públicas que apoyan al(la) candidato(a);Las personas públicas que apoyan al(la) candidato(a);;1;;;
53;207;GZ;P26.4;;26;;category;;La opinión de los medios de comunicación;La opinión de los medios de comunicación;;1;;;
53;208;HA;P26.5;;26;;category;;Lo que dicen las encuestas;Lo que dicen las encuestas;;1;;;
53;209;HB;P26.6;;26;;category;;Las recomendaciones de amistades y familiares;Las recomendaciones de amistades y familiares;;1;;;
53;210;HC;P26.7;;26;;category;;Las propuestas del(la) candidato (a);Las propuestas del(la) candidato (a);;1;;;
54;211;HD;P27.1;;27;;category;;La política;La política;;1;;;
