num_seccion;indice_pregunta;nombre;descripcion;rol;codigo;etiqueta_1;enunciado_1;instruccion;palabras_clave;cantidad_variables;indice_pregunta_bis;num_seccion_bis;dataviz_display;dataviz_chart_type;dataviz_order_type;dataviz_palette
8;98;Frecuencia de visita al parque;;;;69;¿Con qué frecuencia visita este parque?;;;1;98;8;1;bar;answer;main
8;99;Actividad principal en el parque;;;;70;¿Cuál es la principal actividad que usted realiza?;;;1;99;8;1;bar;frecuency;main
8;100;;;;;70.1;Cuál ?;;;1;100;8;0;;;
8;101;Características de parques cercanos;;;;71;Los parques y espacios públicos de uso recreativos cercanos a su casa son;;;6;101;8;1;bar-yes-selection;frecuency;yes_selection
8;102;Situaciones en el parque más cercano;;;;72;Ahora piense en el parque más cercano a su casa. ¿En ese parque, se presentan las siguientes situaciones;;;15;102;8;1;bar-yes-selection;frecuency;yes_selection
8;103;Inseguridad por situaciones en el barrio;;;;73;¿Usted considera que su barrio o las zonas cercanas a su vivienda son inseguros debido a dichas situaciones?;;;1;103;8;1;donut;frecuency;category
8;104;Calificación de seguridad en la ciudad;;;;74;¿De 1 a 5, donde 1 es muy insegura y 5 es muy segura qué calificación le da a esta ciudad en seguridad?;;;1;104;8;1;bar;frecuency;main
8;105;Razón principal de inseguridad;;;;75;¿Cuál es la razón principal por la que considera que esta ciudad es insegura?;Elija una sola opción;;2;105;8;1;bar;frecuency;category
8;106;;;;;75.1;Cuál;;;0;106;8;0;;;
8;107;Razón principal de seguridad;;;;76;¿Cuál es la razón principal por la que considera que esta ciudad es segura? (Elija una sola opción);;;2;107;8;1;bar;frecuency;category
8;108;;;;;76;Cuál ?;;;0;108;8;0;;;
8;109;Percepción de seguridad vs año anterior;;;;77;En términos generales, cree usted que respecto al año pasado esta ciudad es: (actualmente);;;1;109;8;1;bar;answer;main
9;110;Separación de residuos en el hogar;;;;78;En general, ¿usted separa los residuos que se generan en su casa?;;;1;110;9;1;donut;frecuency;category
9;111;Estimación de vecinos que reciclan;;;;79;¿De 10 personas en su barrio, cuántas cree que separan los residuos?;;;1;111;9;1;bar;answer;main
9;112;Percepción de reciclaje en Bogotá;;;;80;¿Usted cree que más de la mitad de los habitantes de Bogotá separa los residuos en sus hogares?;;;1;112;9;1;donut;frecuency;category
9;113;Justificación para arrojar residuos;;;;81;En una escala de 1 a 4, donde 1 es “para nada justificable” y 4 es “totalmente justificable”, ¿qué tan justificable considera usted que es arrojar elementos o residuos a la calle en horarios no permitidos?;;;1;113;9;1;bar;frecuency;main
9;114;Reutilización de materiales;;;;82;¿Usted reutiliza envases, papel, cajas, llantas o algún otro material?;;;1;114;9;1;donut;frecuency;category
9;115;Ruta de reciclaje en el barrio;;;;83;¿Por su hogar pasa una ruta de reciclaje o una persona recicladora de oficio?;;;1;115;9;1;donut;frecuency;category
9;116;Clasificación de residuos por bolsas;;;;84;¿En cuál de las siguientes bolsas deposita los residuos;;;13;116;9;1;bar-multiple;frecuency;custom_84
9;117;Limpieza de residuos aprovechables;;;;85;¿En su hogar, lavan o limpian los residuos que son aprovechables (vasos de yogurt, latas, tetrapak, etc) antes de depositarlos en la caneca?;;;1;117;9;1;donut;frecuency;category
9;118;Conocimiento del compostaje;;;;86;¿Sabe usted qué es el compostaje?;;;1;118;9;1;donut;frecuency;category
9;119;Participación en proyectos de compostaje;;;;87;¿Usted se asegura de que los residuos organicos que genera en su hogar, sean aprovechados en proyectos de compostaje? Por ejemplo proyectos de compostaje comunitario.;Compostaje: El compostaje es un proceso biológico aerobio (con presencia de oxígeno) que, bajo condiciones controladas, transforma los residuos orgánicos degradables en un material llamado compost, que se puede utilizar como abono orgánico.;;1;119;9;1;donut;frecuency;category
9;120;Ubicación del proyecto de compostaje;;;;88;Solo para quienes respondieron Sí en la pregunta anterior ¿Dónde se ubica este proyecto de compostaje?;;;1;120;9;1;bar;frecuency;main
9;121;Criterio de compra en supermercado;;;;89;Cuando usted va al supermercado, ¿Cuál criterio tiene en cuenta principalmente para escoger sus productos?;;;1;121;9;1;bar;frecuency;main
9;122;Comportamientos ambientales en el barrio;;;;90;En el último mes ha visto en su barrio, ¿personas que…;;;7;122;9;1;bar-yes-selection;frecuency;yes_selection
9;123;Reacción ante animal silvestre en peligro;;;;91;Si usted viera en la ciudad a un animal silvestre que se encuentra en peligro, ¿qué haría? (tortugas, cóndor, oso, buhos, zorrillo, etc);;;1;123;9;1;bar;frecuency;main
9;124;Preocupación por calidad del aire;;;;92;¿Qué tanto le preocupa la calidad del aire en Bogotá?;;;1;124;9;1;bar;answer;category
9;125;Capacidad personal de mejorar el aire;;;;93;En su opinión, ¿qué tanto puede hacer usted por la calidad del aire de Bogotá?;;;1;125;9;1;bar;answer;category
9;126;Importancia del ambiente para ciudadanos;;;;94;En su opinión, para la mayoría de los habitantes de Bogotá, cuidar el ambiente y la biodiversidad de la ciudad y sus alrededores es:;;;1;126;9;1;bar;answer;category
9;127;Acciones que afectan fuentes de agua;;;;95;De las siguientes acciones, ¿cuál cree que más afecta las fuentes de agua, canales y ríos de la ciudad?;;;1;127;9;1;bar;frecuency;main
9;128;Estado de los cerros orientales;;;;96;En una escala de 1 a 4, donde 1 es Muy Malo (MM) y 4 es Muy Bueno (MB). ¿Cómo califica el estado general de los cerros orientales? Cerros orientales: Los cerros Orientales son un conjunto orográfico situado al oriente de Bogotá, el cual sirve como frontera natural de la ciudad. A grandes líneas sigue una dirección sur-norte. Se encuentra principalmente en las zonas rurales en las localidades de Sumapaz, Usme, San Cristóbal, Santa Fe, Chapinero y Usaquén. Por ejemplo Monserrate, Guadalupe, etc.;;;1;128;9;1;bar;answer;main
9;129;Visita a lugares naturales de Bogotá;;;;97;En el último año, ¿usted ha visitado alguno de los siguientes lugares de Bogotá;;;9;129;9;1;bar-yes-selection;frecuency;yes_selection
9;130;Entornos naturales en el barrio;;;;98;Dígame si su barrio cuenta con;;;8;130;9;1;bar-yes-selection;frecuency;yes_selection
9;131;Estado de entornos naturales del barrio;;;;99;Ahora dígame el estado en que se encuentra cada uno de ellos…;"Responder únicamente en caso de respuesta afirmativa (""Sí"") en la pregunta anterior";;8;131;9;1;bar-multiple;answer;boolean_asc_3
10;132;Medios de transporte habituales;;;;100;En un recorrido habitual de la casa al trabajo o de la casa al lugar de estudio, ¿Qué medios de transporte utiliza? Selecciónelos en orden de uso:;;;3;132;10;1;bar-multiple;frecuency;category
10;133;Satisfacción con movilidad habitual;;;;101;Por favor califique de 1 a 5 su nivel de satisfacción con la manera como usted se moviliza principalmente, siendo 1 la peor calificación y 5 la mejor calificación.;;;1;133;10;1;bar;answer;main
10;134;Tiempo de desplazamiento habitual;;;;102;En un día habitual ¿cuánto tiempo se demora en llegar desde su casa hasta su punto de destino (por ejemplo al lugar de estudio o al lugar de trabajo)?;;;1;134;10;1;bar;answer;main
10;135;Situaciones viales presenciadas;;;;103;Ahora voy a leerle una lista de situaciones que se presentan en la ciudad. Dígame si las presenció durante la semana pasada.;;;11;135;10;1;bar-yes-selection;frecuency;yes_selection
10;136;Justificación de infracciones de tránsito;;;;104;En una escala de 1 a 4, donde 1 es “nada justificable” y 4 es “totalmente justificable”, ¿para usted, qué tan justificable es...?;;;2;136;10;1;bar-multiple;answer;boolean_desc_4
10;137;Opinión sobre la bicicleta en Bogotá;;;;105;"Dígame si está de acuerdo o en desacuerdo con las siguiente afirmación: ""Bogotá es una ciudad que promueve el uso y disfrute de la bicicleta"".";;;1;137;10;1;donut;frecuency;category
10;138;Orgullo por el Metro de Bogotá;;;;106;¿Qué tan orgullo se siente de la llegada del Metro en Bogotá?;;;1;138;10;1;bar;answer;category
10;139;Percepción de necesidad del Metro;;;;107;¿Cómo califica la llegada del metro en Bogotá, siendo 1 nada necesaria y 4 muy necesaria?;;;1;139;10;1;bar;answer;category
10;140;Disposición a usar el Metro;;;;108;¿Usaría el Metro de Bogotá?;;;1;140;10;1;donut;frecuency;category
10;141;Aporte esperado del Metro;;;;109;En una palabra, ¿Qué cree que aportará la llegada del Metro a Bogotá?;;;1;141;10;1;bar;frecuency;main
11;142;Perfil ciudadano de Bogotá en 2038;;;;110;¿Cuáles características definirían a la ciudadanía que habita la Bogotá en el 2038?;Seleccione máximo 2 opciones;;12;142;11;1;bar-yes-selection;frecuency;yes_selection
