bloque,nombre,n_no_afronto,n_afronto,n_nulos,violan_exclusividad,huecos,marcas_totales,marcas_por_persona,TAC_sin_ponderar,aprueba
K,Acoso sexual,0,0,13082,0,0,0,,0.0,False
L,Violencia intrafamiliar,0,0,13082,0,0,0,,0.0,False
M,Violencia contra la mujer,0,0,13082,0,0,0,,0.0,False
N,Violencia contra NNA,0,0,13082,0,0,0,,0.0,False
