codigo_localidad,localidad,TAC_M,IBA_promedio,RC_real_cota_superior,pct_TAC_M,pct_IBA,pct_deficit_cobertura,PESO_TAC_M,PESO_IBA,PESO_DEFICIT_COBERTURA,INA,rank_INA
3,Santa Fe,0.30108884861053137,0.09630064115159269,90.84224334794656,94.73684210526315,84.21052631578947,100.0,0.4,0.3,0.3,93.1578947368421,1
14,Los Mártires,0.31268943510657976,0.09848436399812607,123.24504085820949,100.0,89.47368421052632,68.42105263157895,0.4,0.3,0.3,87.36842105263158,2
4,San Cristóbal,0.23593834771998287,0.10945371791316069,130.14126656906453,78.94736842105263,100.0,63.1578947368421,0.4,0.3,0.3,80.52631578947368,3
19,Ciudad Bolívar,0.28061435114849265,0.012804628613145049,101.91751896485911,89.47368421052632,36.84210526315789,94.73684210526315,0.4,0.3,0.3,75.26315789473684,4
16,Puente Aranda,0.2252787454989487,0.01739556078522043,104.14400729516741,73.68421052631578,42.10526315789473,89.47368421052632,0.4,0.3,0.3,68.94736842105263,5
5,Usme,0.21610621820643533,0.07646648141439773,132.0103616748486,63.1578947368421,78.94736842105263,57.89473684210527,0.4,0.3,0.3,66.3157894736842,6
8,Kennedy,0.20891258593408862,0.03697873649762781,116.79550069638337,57.89473684210527,52.63157894736842,73.68421052631578,0.4,0.3,0.3,61.05263157894736,7
18,Rafael Uribe Uribe,0.21974806714871906,0.043783979723827006,135.88359822338256,68.42105263157895,57.89473684210527,52.63157894736842,0.4,0.3,0.3,60.526315789473685,8
13,Teusaquillo,0.23887478310616678,-0.2339865054019949,115.26786926849334,84.21052631578947,10.526315789473683,78.94736842105263,0.4,0.3,0.3,60.52631578947368,9
17,La Candelaria,0.2033269410661874,0.07318362648503193,148.35183225338793,47.368421052631575,68.42105263157895,47.368421052631575,0.4,0.3,0.3,53.68421052631579,10
2,Chapinero,0.204289213961431,-0.2842955773943967,109.54205849228178,52.63157894736842,5.263157894736842,84.21052631578947,0.4,0.3,0.3,47.89473684210526,11
6,Tunjuelito,0.16960953101884166,0.07442128659446286,159.02133933130645,36.84210526315789,73.68421052631578,31.57894736842105,0.4,0.3,0.3,46.315789473684205,12
1,Usaquén,0.1348544056852073,0.10039397931655018,167.69509513534626,10.526315789473683,94.73684210526315,26.31578947368421,0.4,0.3,0.3,40.52631578947368,13
11,Suba,0.15783278925515662,-0.03821871276949191,153.74723148327337,31.57894736842105,26.31578947368421,42.10526315789473,0.4,0.3,0.3,33.1578947368421,14
7,Bosa,0.1704108131529245,-0.06615245346754274,157.80429267469333,42.10526315789473,15.789473684210526,36.84210526315789,0.4,0.3,0.3,32.63157894736842,15
10,Engativá,0.13911852352071602,0.023961760653479696,201.15814560896175,15.789473684210526,47.368421052631575,15.789473684210526,0.4,0.3,0.3,25.263157894736842,16
12,Barrios Unidos,0.15143870235318754,-0.05665546000691375,184.35538133802282,26.31578947368421,21.052631578947366,21.052631578947366,0.4,0.3,0.3,23.157894736842103,17
9,Fontibón,0.10547597569377583,0.053701200962882,240.38156826210877,5.263157894736842,63.1578947368421,5.263157894736842,0.4,0.3,0.3,22.631578947368418,18
15,Antonio Nariño,0.14588188833232663,-0.02718483325720024,227.85772362569628,21.052631578947366,31.57894736842105,10.526315789473683,0.4,0.3,0.3,21.052631578947366,19
