variable,pregunta_codigo,pregunta_nombre,enunciado_pregunta,numero_seccion,seccion,tipo_variable,titulo_variable,enunciado_subvariable,etiqueta_corta,en_cubo,unidad_medida
D11.7,D11,Limitaciones permanentes,¿Usted tiene alguna limitación permanente para...?,1,Sociodemográfico / Identificación,category,,Relacionarse con otras personas por problemas mentales o emocionales,,1,
D11.8,D11,Limitaciones permanentes,¿Usted tiene alguna limitación permanente para...?,1,Sociodemográfico / Identificación,category,,"Bañarse, vestirse, alimentarse sin ayuda de alguien más",,1,
D11.9,D11,Limitaciones permanentes,¿Usted tiene alguna limitación permanente para...?,1,Sociodemográfico / Identificación,category,,Otra,,1,
D11.11,D11,Limitaciones permanentes,¿Usted tiene alguna limitación permanente para...?,1,Sociodemográfico / Identificación,category,,Ninguna de las anteriores,,1,
D12,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta. Si dice estar dispuesto(a) a responder, por favor pásele el formulario al/la encuestado(a) y que sea él/ella quien marque las opciones libremente.",,1,
D12.1,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Hombre,,1,
D12.2,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Mujer,,1,
D12.3,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Intersexual,,1,
D12.4,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,De identidad femenina,,1,
D12.5,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,De identidad masculina,,1,
D12.6,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,De identidad transgénero,,1,
D12.7,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Lesbiana,,1,
D12.8,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Gay,,1,
D12.9,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Bisexual,,1,
D12.10,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Heterosexual,,1,
D12.11,D12,Sobre sexualidad,"Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.",1,Sociodemográfico / Identificación,category,,Ninguno,,1,
D13,D13,Tenencia de hijos,¿Usted tiene hijos?,1,Sociodemográfico / Identificación,category,,¿Usted tiene hijos?,,1,
D14,D14,Nivel de ingreso,Su nivel de ingreso se encuentra entre:,1,Sociodemográfico / Identificación,category,,Su nivel de ingreso se encuentra entre:,,1,COP/mes
FACTOR,R3,Factor,Factor,1,Sociodemográfico / Identificación,number,Factor de expansión,,,1,personas
