modelo,dependiente,predictor,coef,sd_x,effect_std,ci_low_std,ci_high_std,significativo_bh_global,p_ajustado_bh_global
M4-K,afronto_K,ICC_mujer,-0.016361652945648456,0.34215908805861256,-0.0055982882510145875,-0.160153413522904,0.1489568370208748,False,0.9434027532912725
M2,afronto_M,ICC_mujer,0.017150586770787072,0.34215908805861256,0.005868229129162609,-0.14715836374376662,0.15889482200209182,False,0.9434027532912725
M4-L,afronto_L,ICC_mujer_x_mujer,-0.024089663477500387,0.32036000453444297,-0.007717364700885229,-0.19619638325982303,0.18076165385805257,False,0.9434027532912725
M3,ICG_B,TAC_M_localidad,0.2453069174534741,0.04931348665658059,0.012096939400608813,0.0007776629274166029,0.023416215873801022,False,0.14481968859246394
M3,ICG_B,HHI,0.06493784248319645,0.24806611103009257,0.016108878043491273,-0.011325052632725834,0.04354280871970838,False,0.4995734526011104
M3,ICG_B,ICC_mujer,-0.050688673024304076,0.34229441330513416,-0.017350449594069943,-0.07716475682190631,0.04246385763376642,False,0.701138240788466
M3,ICG_B,ICC_mujer_x_mujer,0.06894877243872544,0.3204073404011587,0.02209169280101673,-0.03697543726577694,0.0811588228678104,False,0.6817179993702259
M4-K,afronto_K,HHI,0.17146203993374823,0.24793952558024246,0.04251221683619412,-0.06583418551855916,0.1508586191909474,False,0.6817179993702259
M4-L,afronto_L,HHI,-0.19550914964202734,0.24793952558024246,-0.04847444580884089,-0.12058181751183003,0.023632925894148258,False,0.4386965686162476
M1,IPSJ_C,ICC_mujer_x_mujer,0.17767651958428332,0.3211670723562371,0.0570638476213299,0.010102337645774178,0.10402535759688561,False,0.09193629001511912
M4-K,afronto_K,ICC_mujer_x_mujer,0.17899821604086566,0.32036000453444297,0.057343869302508926,-0.10084518102723744,0.21553291963225532,False,0.6817179993702259
M2,afronto_M,ICC_mujer_x_mujer,0.1828463033512003,0.32036000453444297,0.05857664257069666,-0.11621384945715571,0.23336713459854908,False,0.6817179993702259
M1,IPSJ_C,HHI,0.26584054570732046,0.24905631996444244,0.06620926801120439,0.03449872914939853,0.09791980687301025,True,0.0006835018344372732
M2,afronto_M,HHI,-0.2843189092960022,0.24793952558024246,-0.07049389548434276,-0.14702773469171113,0.006039943723025597,False,0.22729562364027167
M1,IPSJ_C,ICC_mujer,-0.26371688630329465,0.3434301833173086,-0.09056833860701032,-0.14076329977581759,-0.04037337743820305,True,0.0032446614049382316
M4-L,afronto_L,ICC_mujer,0.31574973843428816,0.34215908805861256,0.10803664255742149,-0.05423578079811058,0.27030906591295356,False,0.4386965686162476
