escenario,peso_violencia_visible,peso_barrera,peso_cobertura,codigo_localidad,INA_escenario,rank_escenario
Equilibrado,0.40,0.30,0.30,19,87.3,1
Equilibrado,0.40,0.30,0.30,11,41.2,2
Equilibrado,0.40,0.30,0.30,17,33.8,3
